listing_id,date
3781,2015-07-10
3781,2015-08-09
3781,2015-09-01
3781,2015-09-30
3781,2015-10-30
3781,2016-02-22
3781,2016-04-01
3781,2016-08-28
3781,2016-09-30
3781,2017-02-01
3781,2017-05-28
3781,2017-08-19
3781,2017-09-15
3781,2018-07-02
3344322,2014-07-14
3344322,2014-08-03
3344322,2014-08-07
3344322,2014-08-24
3344322,2014-08-26
3344322,2014-08-31
3344322,2014-09-08
3344322,2014-09-12
3781,2019-02-22
3781,2019-12-21
3781,2020-09-03
3781,2020-12-20
3781,2021-02-26
3781,2021-04-30
3781,2021-07-25
3781,2022-01-30
3781,2022-05-29
3781,2022-09-05
3344322,2014-09-19
3344322,2014-09-21
3344322,2014-10-04
3344322,2014-10-12
3344322,2014-11-10
3344322,2015-04-16
3344322,2015-05-04
3344322,2015-05-30
3344322,2015-06-06
3344322,2015-07-06
3344322,2015-07-18
3344322,2015-08-03
3344322,2015-08-07
3344322,2015-08-08
3344322,2015-08-19
3344322,2015-09-12
3344322,2015-09-15
3344322,2015-10-20
3344322,2015-12-05
3344322,2016-05-21
3344322,2016-05-30
3344322,2016-07-19
3344322,2016-08-21
3344322,2016-08-26
3344322,2016-09-06
3344322,2016-10-01
3344322,2016-10-03
3344322,2016-10-07
3344322,2016-10-10
3344322,2016-10-24
3344322,2016-11-06
3344322,2016-11-23
3344322,2017-03-12
3344322,2017-04-04
3344322,2017-04-10
3344322,2017-05-20
3344322,2017-05-29
3344322,2017-07-05
3344322,2017-08-06
3344322,2017-09-23
3344322,2017-09-30
3344322,2017-10-08
3344322,2017-10-17
3344322,2017-11-13
3344322,2018-03-19
3344322,2018-03-25
3344322,2018-04-09
3344322,2018-04-21
3344322,2018-04-29
3344322,2018-05-07
3344322,2018-05-11
3344322,2018-05-19
3344322,2018-06-28
3344322,2018-07-14
3344322,2018-08-19
3344322,2018-08-26
3344322,2018-08-30
3344322,2018-09-07
3344322,2018-09-10
3344322,2018-09-13
3344322,2018-09-15
3344322,2018-09-24
3344322,2018-10-03
3344322,2018-10-08
3344322,2018-10-15
3344322,2018-11-17
3344322,2019-03-09
3344322,2019-03-17
3344322,2019-03-31
3344322,2019-04-07
3344322,2019-04-14
3344322,2019-04-16
3344322,2019-05-18
3344322,2019-05-21
3344322,2019-05-26
3344322,2019-06-11
3344322,2019-06-23
3344322,2019-06-29
3344322,2019-07-28
3344322,2019-08-10
3344322,2019-10-04
3344322,2019-10-14
3344322,2019-10-20
3344322,2019-10-27
3344322,2019-11-23
3344322,2021-09-04
3344322,2021-09-07
3344322,2021-09-10
3344322,2021-09-24
3344322,2021-10-03
3344322,2021-10-08
3344322,2021-10-10
6758443,2015-06-20
6758443,2015-10-16
6758443,2017-08-06
6758443,2017-08-14
6758443,2017-08-19
6758443,2017-08-27
6758443,2017-10-22
6758443,2017-11-19
6758443,2017-12-14
6758443,2017-12-20
6758443,2018-01-08
6758443,2018-01-27
6758443,2018-02-01
6758443,2018-02-22
6758443,2018-03-14
6758443,2018-03-25
6758443,2018-05-12
6758443,2018-05-22
6758443,2018-05-26
6758443,2018-06-07
6758443,2018-06-15
6758443,2018-06-24
6758443,2018-07-10
6758443,2018-07-17
6758443,2018-07-25
6758443,2018-07-27
6758443,2018-07-28
6758443,2018-08-04
6758443,2018-08-06
6758443,2018-08-08
6758443,2018-08-12
6758443,2018-08-17
6758443,2018-08-22
6758443,2018-08-23
6758443,2018-08-26
6758443,2018-09-08
6758443,2018-09-15
6758443,2018-09-17
6758443,2018-09-27
6758443,2018-10-03
6758443,2018-10-05
6758443,2018-10-07
6758443,2018-10-11
6758443,2018-10-20
6758443,2018-10-22
6758443,2018-10-24
6758443,2018-10-25
6758443,2018-10-28
6758443,2018-11-11
6758443,2018-11-18
6758443,2018-12-10
6758443,2018-12-23
6758443,2019-01-05
6758443,2019-01-18
6758443,2019-01-27
6758443,2019-02-03
6758443,2019-02-10
6758443,2019-02-15
6758443,2019-02-16
6758443,2019-02-18
6758443,2019-03-01
6758443,2019-03-05
6758443,2019-03-07
6758443,2019-03-15
6758443,2019-03-18
6758443,2019-03-25
6758443,2019-03-27
6758443,2019-04-01
6758443,2019-04-05
6758443,2019-04-10
6758443,2019-04-19
6758443,2019-04-22
6758443,2019-04-25
6758443,2019-05-02
6758443,2019-05-04
6758443,2019-05-08
6758443,2019-05-13
6758443,2019-05-20
6758443,2019-05-26
6758443,2019-05-31
6758443,2019-06-05
6758443,2019-06-10
6758443,2019-06-23
6758443,2019-06-27
6758443,2019-07-07
6758443,2019-07-29
6758443,2019-08-02
6758443,2019-08-07
6758443,2019-08-13
6758443,2019-08-17
6758443,2019-09-02
6758443,2019-09-07
6758443,2019-09-16
6758443,2019-09-18
6758443,2019-09-21
6758443,2019-09-28
6758443,2019-10-04
6758443,2019-10-14
6758443,2019-10-16
6758443,2019-10-20
6758443,2019-10-22
6758443,2019-10-25
6758443,2019-10-31
6758443,2019-11-07
6758443,2019-11-12
6758443,2019-11-17
5506,2009-03-21
5506,2009-05-01
5506,2009-09-14
5506,2009-11-29
5506,2010-01-19
5506,2010-02-13
5506,2010-02-19
5506,2010-03-07
5506,2010-05-19
5506,2010-05-26
5506,2010-09-26
5506,2010-10-05
5506,2010-11-10
5506,2010-11-22
5506,2011-02-22
5506,2011-03-31
5506,2011-04-26
5506,2011-08-06
5506,2011-08-26
5506,2011-09-30
5506,2011-10-13
5506,2011-10-16
5506,2011-10-23
5506,2011-11-13
5506,2012-01-23
6758443,2019-11-24
5506,2012-02-27
6758443,2019-12-01
6758443,2019-12-07
6758443,2019-12-11
6758443,2019-12-17
6758443,2019-12-31
3344322,2021-10-12
5506,2012-05-25
5506,2014-04-13
5506,2014-09-06
5506,2014-09-10
5506,2015-05-16
5506,2015-06-15
5506,2015-11-17
5506,2016-02-05
5506,2016-04-01
5506,2016-06-08
5506,2016-09-07
5506,2016-11-20
5506,2017-05-14
5506,2017-05-17
5506,2017-06-16
5506,2017-07-14
5506,2017-07-25
5506,2017-08-06
5506,2017-08-17
5506,2017-08-27
5506,2017-09-15
5506,2017-11-14
5506,2017-11-22
5506,2017-12-11
5506,2018-01-02
5506,2018-01-30
5506,2018-03-13
5506,2018-03-21
5506,2018-03-26
5506,2018-03-29
3344322,2021-10-20
3344322,2021-11-01
3344322,2021-11-15
3344322,2021-11-28
3344322,2021-12-04
3344322,2022-03-17
3344322,2022-03-20
3344322,2022-03-27
3344322,2022-04-05
3344322,2022-04-16
3344322,2022-04-19
3344322,2022-04-26
3344322,2022-05-15
3344322,2022-05-23
3344322,2022-06-04
3344322,2022-06-08
3344322,2022-06-15
3344322,2022-06-17
5506,2018-04-01
3344322,2022-06-22
3344322,2022-07-05
3344322,2022-07-08
3344322,2022-07-11
3344322,2022-07-15
3344322,2022-07-25
3344322,2022-07-31
3344322,2022-08-04
3344322,2022-08-08
3344322,2022-08-11
3344322,2022-08-14
3344322,2022-08-22
3344322,2022-08-24
3344322,2022-09-05
3344322,2022-09-23
3344322,2022-10-02
3344322,2022-10-07
3344322,2022-10-09
3344322,2022-10-11
3344322,2022-10-24
3344322,2022-11-02
6758443,2020-01-01
6758443,2020-01-31
6758443,2020-02-02
6758443,2020-02-16
6758443,2020-02-25
6758443,2020-03-02
6758443,2020-05-30
6758443,2020-06-28
6758443,2020-07-19
6758443,2020-08-03
6758443,2020-08-09
6758443,2020-08-13
6758443,2020-08-16
6758443,2020-09-07
6758443,2020-09-27
6758443,2020-10-10
6758443,2020-10-18
6758443,2020-10-23
6758443,2020-10-25
6758443,2020-10-28
6758443,2020-12-01
6758443,2020-12-08
6758443,2020-12-23
6758443,2021-01-03
6758443,2021-01-10
6758443,2021-01-21
6758443,2021-02-15
6758443,2021-02-24
6758443,2021-03-12
6758443,2021-03-21
6758443,2021-04-19
6758443,2021-04-24
6758443,2021-05-15
6758443,2021-05-31
6758443,2021-06-05
6758443,2021-06-18
6758443,2021-06-28
6758443,2021-07-10
6758443,2021-07-17
6758443,2021-07-19
6758443,2021-07-25
6758443,2021-07-26
6758443,2021-08-07
6758443,2021-08-13
6758443,2021-08-22
5506,2018-04-07
6758443,2021-09-08
6758443,2021-09-25
6758443,2021-09-27
6758443,2021-10-12
6758443,2021-10-16
6758443,2021-10-21
6758443,2021-10-29
6758443,2021-11-04
6758443,2021-11-08
6758443,2021-11-15
6758443,2021-11-27
6758443,2021-12-17
6758443,2022-01-06
6758443,2022-01-16
6758443,2022-02-03
6758443,2022-02-06
6758443,2022-02-25
6758443,2022-02-27
6758443,2022-03-13
6758443,2022-03-19
6758443,2022-03-27
6758443,2022-04-26
6758443,2022-04-30
6758443,2022-05-08
3344322,2022-11-05
3441982,2018-10-03
3441982,2018-10-06
3441982,2018-10-10
3441982,2018-10-21
3441982,2018-10-23
3441982,2018-11-02
3441982,2018-11-06
3441982,2018-11-13
3441982,2018-11-15
3441982,2018-11-19
3441982,2018-11-26
3441982,2018-12-05
3441982,2018-12-07
3441982,2018-12-09
3441982,2018-12-13
3441982,2018-12-16
3441982,2018-12-18
3441982,2018-12-23
3441982,2019-01-01
3441982,2019-01-03
3441982,2019-01-07
3441982,2019-01-18
3441982,2019-01-22
3441982,2019-01-25
3441982,2019-01-27
3441982,2019-01-29
3441982,2019-02-01
3441982,2019-02-05
3441982,2019-02-10
3441982,2019-02-13
3441982,2019-02-18
3441982,2019-02-21
3441982,2019-02-26
3441982,2019-03-01
3441982,2019-03-03
3441982,2019-03-06
3441982,2019-03-09
3441982,2019-03-15
3441982,2019-03-18
3441982,2019-03-21
3441982,2019-03-26
3441982,2019-03-28
3441982,2019-04-01
3441982,2019-04-04
3441982,2019-04-08
3441982,2019-04-13
3441982,2019-04-16
5506,2018-04-26
3441982,2019-04-18
3441982,2019-04-22
3441982,2019-04-30
3441982,2019-05-04
3441982,2019-05-06
3441982,2019-05-10
3441982,2019-05-12
3441982,2019-05-20
3441982,2019-05-23
3441982,2019-05-25
3441982,2019-05-31
3441982,2019-06-03
3441982,2019-06-05
3441982,2019-06-10
3441982,2019-06-12
3441982,2019-06-14
3441982,2019-06-16
3441982,2019-06-22
3441982,2019-06-27
3441982,2019-07-01
3441982,2019-07-03
3441982,2019-07-06
3441982,2019-07-20
3441982,2019-07-23
3441982,2019-07-26
3441982,2019-07-28
3441982,2019-07-31
3441982,2019-08-02
3441982,2019-08-05
3441982,2019-08-09
3441982,2019-08-14
3441982,2019-08-17
3441982,2019-08-20
3441982,2019-08-22
3441982,2019-08-29
3441982,2019-09-01
3441982,2019-09-04
3441982,2019-09-12
3441982,2019-09-18
3441982,2019-09-23
3441982,2019-09-26
3441982,2019-09-28
3441982,2019-10-01
3441982,2019-10-03
3441982,2019-10-07
3441982,2019-10-10
3441982,2019-10-13
3441982,2019-10-15
3441982,2019-10-20
3441982,2019-10-24
3441982,2019-11-04
3441982,2019-11-06
3441982,2019-11-13
3441982,2019-11-18
3441982,2020-01-03
3441982,2020-01-06
3441982,2020-01-29
3441982,2020-02-14
3441982,2020-02-17
3441982,2020-02-23
3441982,2020-03-01
3441982,2020-03-05
6758443,2022-06-03
6758443,2022-06-24
6758443,2022-07-02
6758443,2022-07-23
6758443,2022-07-24
6758443,2022-08-10
6758443,2022-08-20
6758443,2022-08-21
6758443,2022-09-09
6758443,2022-09-27
6758443,2022-10-08
6758443,2022-10-18
6758443,2022-11-11
6758443,2022-11-13
6758443,2022-12-17
6758443,2023-01-04
6758443,2023-01-17
6758443,2023-01-22
6758443,2023-01-29
6758443,2023-02-08
6758443,2023-02-10
6758443,2023-02-13
6758443,2023-02-16
6758443,2023-02-19
6758443,2023-02-27
6758443,2023-03-08
6758443,2023-03-12
6758443,2023-03-14
5506,2018-05-30
6758462,2017-04-09
6758462,2017-04-18
6758462,2017-05-04
6758462,2017-05-05
6758462,2017-05-15
6758462,2017-05-22
6758462,2017-05-28
6758462,2017-08-20
3441982,2020-03-08
3441982,2020-03-13
3441982,2020-04-06
3441982,2020-05-18
3441982,2020-05-24
3441982,2020-06-04
3441982,2020-06-07
3441982,2020-06-11
3441982,2020-06-26
3441982,2020-06-30
3441982,2021-09-13
3441982,2021-09-20
3441982,2021-09-24
3441982,2021-12-22
3441982,2022-01-04
3441982,2022-01-29
3441982,2022-05-01
3441982,2022-06-11
3441982,2022-06-30
3441982,2022-08-15
3441982,2022-09-24
3441982,2022-10-22
5506,2018-06-04
5506,2018-06-27
5506,2018-06-30
5506,2018-07-05
5506,2018-07-19
5506,2018-07-27
5506,2018-08-01
5506,2018-08-27
5506,2018-08-31
5506,2018-09-03
5506,2018-09-19
5506,2018-09-27
5506,2018-10-01
5506,2018-10-09
5506,2018-10-21
5506,2018-10-27
3441982,2022-12-13
6758462,2017-09-03
6758462,2017-10-07
6758462,2017-10-15
6758462,2017-11-13
6758462,2017-11-21
6758462,2017-12-07
6758462,2018-03-17
6758462,2018-04-08
6758462,2018-04-18
6758462,2018-04-29
6758462,2018-05-05
6758462,2018-05-10
6758462,2018-05-18
6758462,2018-06-10
6758462,2018-08-06
6758462,2018-08-30
6758462,2018-09-04
6758462,2018-09-05
6758462,2018-09-26
6758462,2018-09-29
6758462,2018-10-24
5506,2018-11-06
6758462,2018-10-27
6758462,2018-11-17
5506,2018-11-11
6758462,2018-12-09
3457722,2014-08-04
3457722,2014-08-07
3457722,2014-09-01
3457722,2014-10-23
3457722,2014-11-17
3457722,2014-12-01
3457722,2014-12-29
3457722,2015-01-02
3457722,2015-03-16
3457722,2015-03-20
3457722,2015-04-22
3457722,2015-05-04
3457722,2015-05-19
3457722,2015-06-02
3457722,2015-07-06
3457722,2015-07-13
3457722,2015-08-02
3457722,2015-10-12
5506,2018-11-14
5506,2018-11-18
5506,2019-02-18
5506,2019-03-17
5506,2019-03-30
5506,2019-04-08
5506,2019-04-15
5506,2019-05-05
5506,2019-05-12
5506,2019-05-17
5506,2019-05-27
5506,2019-06-02
5506,2019-06-16
5506,2019-06-20
5506,2019-06-23
5506,2019-06-25
5506,2019-07-01
5506,2019-07-11
3457722,2015-11-02
3457722,2015-12-27
3457722,2016-05-30
3457722,2016-07-04
3457722,2016-07-25
3457722,2016-09-04
6758462,2019-01-15
6758462,2019-03-18
6758462,2019-04-07
6758462,2019-04-09
6758462,2019-04-11
6758462,2019-04-16
6758462,2019-04-26
6758462,2019-04-29
6758462,2019-05-04
6758462,2019-05-11
6758462,2019-05-15
6758462,2019-05-19
6758462,2019-05-21
6758462,2019-05-31
6758462,2019-08-02
6758462,2019-08-18
6758462,2019-09-08
6758462,2019-09-15
6758462,2019-09-25
6758462,2019-10-20
6758462,2019-11-02
6758462,2019-12-08
6758462,2019-12-18
6758462,2020-01-02
